date, pm25, o3, no2, so2, co
2022/11/30, 80, 45, , 1, 
2022/12/1, 72, 35, , 1, 
2022/12/2, 64, 41, , 1, 
2022/12/3, 56, 41, , 1, 
2022/12/4, 42, 26, , 2, 
2022/12/5, 47, 40, , 2, 
2022/12/6, 64, 57, , 2, 
2022/12/7, 93, 48, , 3, 
2022/12/8, 104, 44, , 3, 
2022/12/9, 98, 44, , 2, 
2022/12/10, 94, 42, , 1, 
2022/12/11, 90, 43, , 1, 
2022/12/12, 79, 46, , 1, 
2022/12/13, 94, 46, , 1, 
2022/12/14, 99, 18, , 1, 
2022/12/15, 70, 38, , 1, 
2022/12/16, 86, 41, , , 
2022/12/17, 85, 43, , , 
2022/12/18, 89, 42, , , 
2022/12/19, 87, 39, , 1, 
2022/12/20, 97, 51, , 1, 
2022/12/21, 100, 40, , 1, 
2022/12/22, 61, 41, , 1, 
2022/12/23, 81, 58, , 1, 
2022/12/24, 89, 45, , , 
2022/12/25, 59, 32, , , 
2022/12/26, 49, 40, , , 
2022/12/27, 60, 48, , 1, 
2022/12/28, 87, 46, , 1, 
2022/12/29, 98, 32, , , 
2022/12/30, 88, , , , 
2023/1/2, 59, 30, , 1, 
2022/7/8, 29, 31, 9, , 6
2022/7/9, 30, 46, , , 3
2022/7/10, 24, 46, , , 5
2022/7/11, 22, 50, , , 5
2022/7/12, 32, 44, , , 5
2022/7/13, 47, 58, , , 5
2022/7/14, 32, 50, , , 5
2022/7/15, 26, 45, , 11, 3
2022/7/16, 16, 45, , , 3
2022/7/17, 13, 19, , , 4
2022/7/18, 50, 32, , , 5
2022/7/19, 36, 40, , , 5
2022/7/20, 49, 50, , , 6
2022/7/21, 31, 43, , , 5
2022/7/22, 39, 40, , , 5
2022/7/23, 32, 40, , , 6
2022/7/24, 27, 41, , , 6
2022/7/25, 12, 48, , , 5
2022/7/26, 34, 37, , , 6
2022/7/27, 30, 39, , , 6
2022/7/28, 30, 35, , , 7
2022/7/29, 20, 42, , , 6
2022/7/30, 23, 47, , , 7
2022/7/31, 32, 48, , , 7
2022/8/1, 32, 52, , , 7
2022/8/2, 19, 41, , , 7
2022/8/3, 22, 46, , , 8
2022/8/4, 39, 40, , , 8
2022/8/5, 34, 38, , , 8
2022/8/6, 40, 31, , , 8
2022/8/9, 29, 49, , , 9
2022/8/10, 15, 37, , , 10
2022/8/11, 34, 33, , , 10
2022/8/12, 38, 47, , , 10
2022/4/2, 62, 61, 6, , 12
