date, pm10, o3
2020/2/3, 23, 21
2020/2/4, 20, 18
2020/2/5, 7, 20
2020/2/6, 8, 33
2020/2/7, 12, 40
2020/2/8, 22, 38
2020/2/9, 22, 24
2020/2/10, 12, 27
2020/2/11, 17, 31
2020/2/12, 21, 25
2020/2/13, 14, 31
2020/2/14, 15, 34
2020/2/15, 32, 46
2020/2/16, 42, 47
2020/2/17, 29, 41
2020/2/18, 28, 47
2020/2/19, 40, 49
2020/2/20, 41, 57
2020/2/21, 49, 38
2020/2/22, 33, 46
2020/2/23, 32, 41
2020/2/24, 30, 45
2020/2/25, 24, 40
2020/2/26, 26, 42
2020/2/27, 26, 21
2020/2/28, 22, 21
2020/2/29, 66, 60
2020/3/1, 39, 37
2020/3/2, 27, 34
2020/3/3, 26, 34
2020/3/4, 41, 30
2020/3/5, 25, 35
2020/3/6, 35, 39
2020/3/7, 33, 50
2020/3/8, 29, 44
2020/3/9, 36, 46
2020/3/10, 34, 47
2020/3/11, 36, 47
2020/3/12, 38, 51
2020/3/13, 45, 50
2020/3/14, 36, 50
2020/3/15, 38, 40
2020/3/16, 31, 41
2020/3/17, 20, 40
2020/3/18, 23, 
2020/3/21, 34, 44
2020/3/22, 40, 43
2020/3/23, 34, 46
2020/3/24, 41, 43
2020/3/25, 37, 52
2020/3/26, 40, 52
2020/3/27, 44, 44
2020/3/28, 40, 41
2020/3/29, 29, 48
2020/3/30, 42, 42
2020/3/31, 39, 45
2020/4/1, 34, 46
2019/10/2, 12, 35
2019/10/3, 14, 36
2019/10/4, 15, 42
2019/10/5, 19, 38
2019/10/6, 21, 39
2019/10/7, 15, 35
2019/10/8, 23, 38
2019/10/9, 20, 42
2019/10/10, 22, 41
2019/10/11, 25, 46
2019/10/12, 29, 33
2019/10/13, 24, 33
2019/10/14, 18, 42
2019/10/15, 25, 44
2019/10/16, 25, 33
2019/10/17, 31, 33
2019/10/18, 17, 31
2019/10/19, 16, 32
2019/10/20, 14, 19
2019/10/21, 9, 26
2019/10/22, 11, 30
2019/10/23, 18, 43
2019/10/24, 19, 36
2019/10/25, 13, 36
2019/10/26, 14, 31
2019/10/27, 13, 32
2019/10/28, 20, 45
2019/10/29, 20, 34
2019/10/30, 17, 33
2019/10/31, 19, 33
2019/11/1, 23, 39
2019/11/2, 21, 37
2019/11/3, 24, 34
2019/11/4, 14, 31
2019/11/5, 12, 31
2019/11/6, 20, 32
2019/11/7, 15, 39
2019/11/8, 20, 34
2019/11/9, 19, 
2019/11/11, 26, 41
2019/11/12, 25, 39
2019/11/13, 27, 24
2019/11/14, 15, 27
2019/11/15, 9, 40
2019/11/16, 18, 
2019/11/18, 22, 33
2019/11/19, 14, 28
2019/11/20, 15, 32
2019/11/21, 17, 36
2019/11/22, 20, 34
2019/11/23, 18, 
2019/11/25, 33, 49
2019/11/26, 23, 32
2019/11/27, 26, 47
2019/11/28, 37, 38
2019/11/29, 28, 51
2019/11/30, 36, 32
2019/12/1, 24, 40
2019/12/2, 23, 39
2019/12/3, 33, 44
2019/12/4, 32, 42
2019/12/5, 29, 55
2019/12/6, 36, 49
2019/12/7, 37, 42
2019/12/8, 34, 42
2019/12/9, 37, 55
2019/12/10, 36, 47
2019/12/11, 33, 41
2019/12/12, 43, 37
2019/12/13, 34, 32
2019/12/14, 24, 46
2019/12/15, 38, 42
2019/12/16, 28, 32
2019/12/17, 23, 48
2019/12/18, 41, 42
2019/12/19, 37, 37
2019/12/20, 39, 14
2019/12/21, 34, 12
2019/12/22, 10, 31
2019/12/23, 9, 31
2019/12/24, 23, 28
2019/12/25, 18, 29
2019/12/26, 21, 31
2019/12/27, 14, 31
2019/12/28, 18, 11
2019/12/29, 28, 
2019/7/5, 21, 
2019/7/6, 10, 
2019/7/7, 29, 
2019/7/8, 22, 
2019/7/10, 24, 
2019/7/11, 19, 
2019/7/12, 21, 
2019/7/13, 16, 
2019/7/14, 14, 
2019/7/15, 12, 
2019/7/16, 18, 
2019/7/17, 16, 
2019/7/18, 20, 
2019/7/19, 24, 
2019/7/20, 26, 
2019/7/21, 16, 
2019/7/22, 10, 
2019/7/23, 11, 
2019/7/24, 12, 
2019/7/25, 18, 
2019/7/26, 15, 
2019/7/27, 16, 
2019/7/28, 17, 
2019/7/29, 21, 
2019/7/30, 20, 
2019/7/31, 21, 
2019/8/1, 30, 
2019/8/2, 31, 
2019/8/3, 27, 
2019/8/4, 30, 
2019/8/5, 21, 
2019/8/6, 21, 
2019/8/7, 18, 
2019/8/8, 11, 
2019/8/9, 15, 
2019/8/10, 17, 
2019/8/11, 17, 
2019/8/12, 11, 
2019/8/13, 14, 
2019/8/14, 19, 
2019/8/15, 16, 
2019/8/16, 24, 
2019/8/17, 24, 
2019/8/18, 26, 
2019/8/19, 17, 
2019/8/20, 25, 38
2019/8/21, 28, 41
2019/8/22, 25, 36
2019/8/23, 15, 33
2019/8/24, 8, 33
2019/8/25, 9, 33
2019/8/26, 11, 27
2019/8/27, 10, 43
2019/8/28, 17, 58
2019/8/29, 24, 59
2019/8/30, 28, 44
2019/8/31, 28, 45
2019/9/1, 30, 40
2019/9/2, 23, 37
2019/9/3, 22, 42
2019/9/4, 16, 41
2019/9/5, 18, 44
2019/9/6, 18, 40
2019/9/7, 17, 44
2019/9/8, 22, 
2019/9/10, 17, 41
2019/9/11, 18, 36
2019/9/12, 19, 26
2019/9/13, 15, 
2019/9/15, 15, 38
2019/9/16, 13, 43
2019/9/17, 20, 52
2019/9/18, 26, 37
2019/9/19, 26, 22
2019/9/20, 11, 41
2019/9/21, 15, 38
2019/9/22, 16, 43
2019/9/23, 19, 15
2019/9/24, 30, 45
2019/9/25, 24, 48
2019/9/26, 28, 38
2019/9/27, 21, 50
2019/9/28, 25, 41
2019/9/29, 24, 23
2019/9/30, 12, 24
2019/10/1, 11, 32
2019/5/24, 53, 
2019/5/25, 55, 
2019/5/26, 52, 
2019/5/27, 42, 
2019/5/28, 33, 
2019/5/29, 35, 
2019/5/30, 40, 
2019/5/31, 45, 
2019/6/1, 39, 
2019/6/2, 34, 
2019/6/3, 26, 
2019/6/4, 23, 
2019/6/5, 20, 
2019/6/6, 13, 
2019/6/7, 20, 
2019/6/8, 41, 
2019/6/9, 33, 
2019/6/10, 35, 
2019/6/11, 12, 
2019/6/21, 26, 
2019/6/22, 20, 
2019/6/23, 24, 
2019/6/24, 19, 
2019/6/25, 27, 
2019/6/26, 20, 
2019/6/27, 20, 
2019/6/28, 24, 
2019/6/29, 19, 
2018/10/2, 25, 26
2018/10/3, 21, 26
2018/10/4, 22, 25
2018/10/5, 27, 25
2018/10/6, 22, 31
2018/10/7, 37, 19
2018/10/8, 9, 20
2018/10/9, 8, 22
2018/10/10, 12, 23
2018/10/11, 19, 29
2018/10/12, 29, 22
2018/10/13, 29, 30
2018/10/14, 28, 22
2018/10/15, 22, 17
2018/10/16, 15, 21
2018/10/17, 19, 17
2018/10/18, 13, 15
2018/10/19, 16, 13
2018/10/20, 16, 
2018/11/8, 44, 25
2018/11/9, 29, 30
2018/11/10, 37, 24
2018/11/11, 34, 22
2018/11/12, 31, 21
2018/11/13, 30, 18
2018/11/14, 25, 19
2018/11/15, 22, 21
2018/11/16, 27, 26
2018/11/17, 33, 26
2018/11/18, 34, 32
2018/11/19, 42, 26
2018/11/20, 30, 31
2018/11/21, 41, 28
2018/11/22, 57, 30
2018/11/23, 44, 26
2018/11/24, 39, 29
2018/11/25, 33, 20
2018/11/26, 24, 20
2018/11/27, 38, 26
2018/11/28, 40, 15
2018/11/29, 16, 19
2018/11/30, 6, 18
2018/12/1, 21, 23
2018/12/2, 22, 19
2018/12/3, 21, 34
2018/12/4, 27, 32
2018/12/5, 30, 26
2018/12/6, 35, 27
2018/12/7, 30, 24
2018/12/8, 41, 18
2018/12/9, 23, 19
2018/12/10, 17, 23
2018/12/11, 35, 21
2018/12/12, 34, 22
2018/12/13, 35, 17
2018/12/14, 23, 22
2018/12/15, 21, 34
2018/12/16, 27, 31
2018/12/17, 37, 28
2018/12/18, 44, 21
2018/12/19, 39, 20
2018/12/20, 27, 16
2018/12/21, 34, 20
2018/12/22, 49, 34
2018/12/23, 56, 31
2018/12/24, 54, 29
2018/12/25, 44, 29
2018/12/26, 65, 18
2018/12/27, 33, 17
2018/12/28, 30, 18
2018/12/29, 43, 24
2018/12/30, 37, 17
2018/12/31, 34, 
2018/7/2, 29, 50
2018/7/3, 29, 45
2018/7/4, 33, 56
2018/7/5, 26, 35
2018/7/6, 32, 34
2018/7/7, 30, 38
2018/7/8, 24, 31
2018/7/9, 19, 31
2018/7/10, 14, 26
2018/7/11, 23, 37
2018/7/12, 19, 27
2018/7/13, 22, 29
2018/7/14, 34, 29
2018/7/15, 28, 27
2018/7/16, 25, 35
2018/7/17, 38, 22
2018/7/18, 28, 28
2018/7/19, 12, 37
2018/7/20, 30, 34
2018/7/21, 31, 35
2018/7/22, 31, 36
2018/7/23, 28, 32
2018/7/24, 33, 32
2018/7/25, 35, 37
2018/7/26, 37, 34
2018/7/27, 41, 37
2018/7/28, 29, 35
2018/7/29, 20, 22
2018/7/30, 46, 35
2018/7/31, 28, 35
2018/8/1, 25, 32
2018/8/2, 37, 19
2018/8/3, 10, 
2018/8/11, 29, 29
2018/8/12, 13, 28
2018/8/13, 10, 26
2018/8/14, 9, 29
2018/8/15, 21, 29
2018/8/16, 28, 26
2018/8/17, 20, 29
2018/8/18, 24, 
2018/8/21, 46, 
2018/8/27, 20, 28
2018/8/28, 29, 28
2018/8/29, 28, 23
2018/8/30, 19, 25
2018/8/31, 20, 
2018/9/3, 16, 31
2018/9/4, 18, 28
2018/9/5, 43, 30
2018/9/6, 29, 13
2018/9/7, 23, 
2018/9/13, 20, 19
2018/9/14, 9, 
2018/9/27, 23, 24
2018/9/28, 29, 25
2018/9/29, 18, 25
2018/9/30, 19, 26
2018/10/1, 17, 27
2018/4/6, 34, 45
2018/4/7, 40, 48
2018/4/8, 33, 51
2018/4/9, 34, 49
2018/4/10, 38, 60
2018/4/11, 47, 54
2018/4/12, 20, 66
2018/4/13, 18, 50
2018/4/14, 33, 47
2018/4/15, 24, 27
2018/4/16, 40, 62
2018/4/17, 45, 53
2018/4/18, 47, 38
2018/4/19, 36, 71
2018/4/20, 52, 57
2018/4/21, 50, 48
2018/4/22, 41, 23
2018/4/23, 28, 
2018/4/25, 37, 47
2018/4/26, 32, 54
2018/4/27, 44, 64
2018/4/28, 42, 52
2018/4/29, 36, 40
2018/4/30, 43, 46
2018/5/1, 43, 51
2018/5/2, 45, 52
2018/5/3, 26, 60
2018/5/4, 17, 56
2018/5/5, 29, 51
2018/5/6, 17, 40
2018/5/7, 12, 50
2018/5/8, 12, 40
2018/5/9, 7, 54
2018/5/10, 24, 65
2018/5/11, 16, 66
2018/5/12, 19, 62
2018/5/13, 20, 55
2018/5/14, 2, 61
2018/5/16, 22, 52
2018/5/17, 11, 51
2018/5/18, 32, 42
2018/5/19, 25, 45
2018/5/20, 25, 54
2018/5/21, 21, 54
2018/5/22, 32, 69
2018/5/23, 43, 60
2018/5/24, 49, 60
2018/5/25, 51, 55
2018/5/26, 44, 50
2018/5/27, 36, 56
2018/5/28, 33, 55
2018/5/29, 46, 55
2018/5/30, 54, 52
2018/5/31, 26, 66
2018/6/1, 51, 64
2018/6/2, 42, 
2018/6/6, 24, 58
2018/6/7, 31, 65
2018/6/8, 41, 47
2018/6/9, 39, 50
2018/6/10, 29, 42
2018/6/11, 29, 44
2018/6/12, 32, 40
2018/6/13, 10, 27
2018/6/14, 12, 32
2018/6/15, 13, 32
2018/6/16, 12, 48
2018/6/17, 26, 36
2018/6/18, 15, 35
2018/6/19, 12, 30
2018/6/20, 9, 27
2018/6/21, 5, 34
2018/6/22, 17, 39
2018/6/23, 11, 
2018/6/26, 12, 29
2018/6/27, 12, 43
2018/6/28, 16, 43
2018/6/29, 18, 46
2018/6/30, 17, 
2025/8/19, , 36
2025/8/23, , 35
2025/7/10, , 30
2025/5/18, , 38
2025/5/24, , 45
2025/6/3, , 38
2025/6/4, , 37
2025/6/9, , 34
2025/6/14, , 21
2025/6/28, , 30
2025/1/1, , 46
2025/1/16, , 34
2025/1/23, , 37
2025/1/28, , 46
2025/2/21, , 25
2025/3/11, , 36
2024/10/20, , 31
2024/11/3, , 27
2024/11/17, , 21
2024/11/19, , 24
2024/12/17, , 35
2024/9/3, , 27
2024/5/20, , 26
2024/2/16, , 15
2024/3/13, , 30
2023/10/11, , 24
2023/10/19, , 12
2023/11/30, , 23
2023/12/7, , 13
2023/12/15, , 6
2023/12/21, , 15
2023/12/28, , 10
2023/7/11, , 41
2023/8/14, , 35
2023/8/19, , 27
2023/8/25, , 20
2023/6/1, , 36
2023/1/5, , 38
2023/1/25, , 32
2023/2/5, , 35
2023/2/10, , 27
2023/2/15, , 18
2023/2/20, , 40
2023/3/27, , 40
2022/10/31, , 32
2022/12/14, , 36
2022/12/19, , 17
2022/8/8, , 34
2022/9/12, , 36
2022/9/14, , 42
2022/5/17, , 43
2022/5/25, , 51
2022/6/16, , 15
2022/6/27, , 29
2022/3/10, , 27
2021/11/4, , 35
2021/12/25, , 39
2021/7/21, , 37
2021/7/31, , 32
2021/8/5, , 25
2021/8/17, , 38
2021/5/14, , 47
2021/1/18, , 38
2021/1/29, , 38
2021/3/13, , 46
2021/3/22, , 38
2020/10/29, , 42
2020/12/7, , 21
2020/12/14, , 31
2020/5/4, , 46
2020/5/10, , 53
2020/5/17, , 45
2020/6/10, , 44
2020/1/1, , 17
2020/3/20, , 37
2019/11/10, , 36
2019/11/17, , 35
2019/11/24, , 28
2019/9/9, , 34
2019/9/14, , 30
2018/11/7, , 17
2018/7/1, , 41
2018/8/10, , 32
2018/8/20, , 31
2018/8/26, , 26
2018/9/2, , 20
2018/9/12, , 21
2018/9/26, , 22
2018/4/5, , 46
2018/4/24, , 27
2018/5/15, , 49
2018/6/5, , 51
2018/6/25, , 41
