date, pm10, o3, no2, so2, co
2023/1/29, 41, 24, 15, 15, 19
2023/1/30, 43, 25, 19, 15, 24
2023/1/31, 70, 29, 19, 18, 22
2023/2/1, 65, 27, 17, 21, 19
2023/2/2, 55, 24, 17, 15, 20
2023/2/3, 54, 15, 12, 14, 17
2023/2/4, 47, , , , 
2023/2/8, 95, 26, 20, 10, 19
2023/2/9, 66, 27, 16, 14, 17
2023/2/10, 54, 19, 16, 14, 16
2023/2/11, 60, 26, 11, 12, 14
2023/2/12, 33, 28, 15, 16, 16
2023/2/13, 44, 23, 17, 14, 17
2023/2/14, 59, 20, 15, 9, 16
2023/2/15, 50, 20, 14, , 16
2023/2/16, 43, 37, 10, 4, 9
2023/2/17, 52, 50, 12, 7, 5
2023/2/18, 63, 73, 12, 9, 5
2023/2/19, 47, 59, 13, 12, 5
2023/2/20, 51, 69, 17, 15, 7
2023/2/21, 62, 44, 14, 16, 5
2023/2/22, 64, 39, 9, 18, 4
2023/2/23, 47, 52, 14, 18, 6
2023/2/24, 52, 81, 12, 25, 4
2023/2/25, 62, 67, 14, 22, 6
2023/2/26, 64, 46, 13, 21, 4
2023/2/27, 54, 62, 17, 19, 6
2023/2/28, 75, 63, 15, 21, 6
2023/3/1, 83, 45, 12, 20, 4
2023/3/2, 66, 41, 12, 11, 3
2023/3/3, 67, 45, 12, 14, 3
2023/3/4, 66, 19, 14, 8, 2
2023/3/5, 49, 47, 10, 12, 1
2023/3/6, 30, , , , 
2023/3/8, 74, 76, 18, 14, 4
2023/3/9, 79, 63, 17, 13, 3
2023/3/10, 77, 20, 21, 15, 4
2023/3/11, 80, , , , 
2023/3/14, 60, 22, 7, 8, 4
2023/3/15, 61, 20, 4, 13, 3
2023/3/16, 80, 20, 6, 14, 3
2023/3/17, 43, 21, 7, 13, 3
2023/3/18, 50, 12, 5, 14, 3
2023/3/19, 44, , , , 
2023/3/23, 75, 24, 8, 7, 5
2023/3/24, 61, 24, 6, 7, 3
2023/3/25, 53, 29, 8, 8, 5
2023/3/26, 53, 28, 8, 9, 3
2023/3/27, 44, 30, 9, 8, 5
2023/3/28, 57, 40, 9, 6, 5
2023/3/29, 73, 34, 5, 6, 3
2023/3/30, 58, 26, 4, 4, 2
2023/3/31, 38, 30, 8, 2, 3
2023/4/1, 56, 38, 9, 4, 4
2022/10/2, 26, , , 19, 14
2022/10/3, 30, , , 13, 14
2022/10/4, 28, , , 12, 15
2022/10/5, 30, , , , 
2022/10/13, 25, 21, , 12, 9
2022/10/14, 23, 19, , 9, 8
2022/10/15, 21, 24, , 9, 9
2022/10/16, 28, 34, , 9, 10
2022/10/17, 33, 34, , 19, 10
2022/10/18, 42, 15, , 13, 8
2022/10/19, 25, 20, , 7, 7
2022/10/20, 14, 15, , 5, 6
2022/10/21, 11, , , , 
2022/10/26, 33, 4, , 13, 13
2022/10/27, 50, 11, 13, 13, 10
2022/10/28, 36, 25, 13, 13, 9
2022/10/29, 43, 32, 10, 13, 7
2022/10/30, 32, 23, 13, 12, 8
2022/10/31, 35, 23, 14, 11, 9
2022/11/1, 46, 25, 14, 11, 8
2022/11/2, 39, 25, 10, 11, 6
2022/11/3, 25, 31, 14, 13, 8
2022/11/4, 37, 27, 15, 13, 8
2022/11/5, 48, 28, 15, 12, 8
2022/11/6, 39, 35, 17, 15, 10
2022/11/7, 51, 22, 10, 12, 6
2022/11/8, 36, 11, 8, 12, 6
2022/11/9, 21, 16, 15, 12, 9
2022/11/10, 37, 20, 16, 15, 9
2022/11/11, 41, 22, 17, 13, 9
2022/11/12, 50, 32, 21, 18, 11
2022/11/13, 62, 20, 12, 17, 7
2022/11/14, 37, 14, 14, 12, 8
2022/11/15, 42, 29, 20, 19, 10
2022/11/16, 60, 27, 13, 19, 8
2022/11/17, 43, 22, 18, 15, 11
2022/11/18, 59, 22, 17, 14, 10
2022/11/19, 42, 18, 15, 17, 8
2022/11/20, 44, 12, 8, 13, 6
2022/11/21, 14, 13, 8, 12, 6
2022/11/22, 11, , , , 
2022/11/24, 39, 17, 14, 13, 7
2022/11/25, 34, 17, 13, 13, 7
2022/11/26, 35, 14, 12, 16, 6
2022/11/27, 26, 14, 11, 12, 6
2022/11/28, 29, 20, 16, 12, 10
2022/11/29, 45, 16, 15, 13, 8
2022/11/30, 43, 19, 13, 17, 7
2022/12/1, 44, 12, 6, 12, 3
2022/12/2, 15, 34, 11, 13, 5
2022/12/3, 26, 18, 8, 13, 4
2022/12/4, 26, 23, 7, 13, 3
2022/12/5, 13, 27, 14, 15, 9
2022/12/6, 40, 33, 21, 18, 14
2022/12/7, 66, 41, 19, 24, 10
2022/12/8, 64, 24, 19, 18, 11
2022/12/9, 63, 19, 14, 14, 7
