date, pm25, o3, no2, so2, co
2024/11/23, 20, 18, 8, , 22
2024/11/24, 37, 18, 3, , 21
2024/11/25, 25, 16, 5, , 21
2024/11/26, 30, 17, 6, , 22
2024/11/27, 40, 19, 6, , 23
2024/11/28, 47, 8, 4, , 22
2024/11/29, 40, 10, 4, , 22
2024/11/30, 37, , , , 
2024/12/2, 32, 10, 4, , 21
2024/12/3, 34, 12, 5, , 21
2024/12/4, 33, 11, 4, , 21
2024/12/5, 29, 13, 6, , 21
2024/12/6, 32, 11, 6, , 22
2024/12/7, 37, 8, 5, , 22
2024/12/8, 34, 11, 3, , 22
2024/12/9, 29, 9, 6, , 23
2024/12/10, 49, 5, 4, , 23
2024/12/11, 30, , , , 
2024/12/15, 49, 10, 2, , 22
2024/12/16, 35, 7, 5, , 23
2024/12/17, 45, 8, 5, , 22
2024/12/18, 47, 8, 4, , 22
2024/12/19, 40, 8, 3, , 22
2024/12/20, 36, 10, 3, , 22
2024/12/21, 27, 4, 7, , 25
2024/12/22, 40, 12, 5, , 24
2024/12/23, 30, 10, 5, , 23
2024/12/24, 32, 13, 6, , 23
2024/12/25, 43, 9, 5, , 23
2024/12/26, 38, 5, 4, , 23
2024/12/27, 40, 4, 4, , 23
2024/12/28, 27, 3, 4, , 24
2024/12/29, 46, 4, 3, , 23
2024/12/30, 38, , , , 
2024/7/2, 65, 15, 5, , 12
2024/7/3, 49, 16, 3, , 12
2024/7/4, 67, 111, 2, , 12
2024/7/5, 55, , , , 
2024/7/11, 128, 10, 6, , 16
2024/7/12, 71, 15, 5, , 15
2024/7/13, 37, 15, 3, , 15
2024/7/14, 76, 14, 3, , 15
2024/7/15, 67, 20, 3, , 15
2024/7/16, 58, 17, 5, , 15
2024/7/17, 56, 19, 4, , 15
2024/7/18, 53, 17, 5, , 15
2024/7/19, 43, 10, 4, , 15
2024/7/20, 42, 14, 7, , 16
2024/7/21, 47, 14, 3, , 15
2024/7/22, 83, 12, 6, , 17
2024/7/23, 50, 8, 4, , 16
2024/7/24, 84, 14, 3, , 15
2024/7/25, 69, 16, 3, , 15
2024/7/26, 46, 12, 3, , 15
2024/7/27, 38, 13, 5, , 16
2024/7/28, 61, 15, 2, , 15
2024/7/29, 45, 15, 3, , 15
2024/7/30, 87, 13, 3, , 15
2024/7/31, 84, 16, 3, , 15
2024/8/1, 78, 16, 3, , 15
2024/8/2, 61, 14, 4, , 16
2024/8/3, 61, 15, 3, , 16
2024/8/4, 38, 21, 5, , 17
2024/8/5, 51, 20, 4, , 16
2024/8/6, 47, 17, 3, , 16
2024/8/7, 46, 17, 7, , 17
2024/8/8, 58, 28, 5, , 17
2024/8/9, 50, 14, 5, , 17
2024/8/10, 44, 7, 3, , 17
2024/8/11, 18, 15, 5, , 18
2024/8/12, 45, 16, 5, , 17
2024/8/13, 61, 15, 2, , 17
2024/8/14, 58, 19, 6, , 18
2024/8/15, 49, 19, 7, , 19
2024/8/16, 56, 17, 4, , 17
2024/8/17, 65, 30, 4, , 18
2024/8/18, 53, 21, 4, , 18
2024/8/19, 46, 16, 6, , 18
2024/8/20, 44, 24, 6, , 18
2024/8/21, 51, 25, 7, , 19
2024/8/22, 47, 21, 5, , 18
2024/8/23, 50, , , , 
2024/8/26, 51, 25, 6, , 19
2024/8/27, 47, 20, 6, , 19
2024/8/28, 41, 20, 4, , 19
2024/8/29, 42, 22, 5, , 20
2024/8/30, 39, 18, 6, , 21
2024/8/31, 41, 21, 4, , 19
2024/9/1, 37, 20, 4, , 20
2024/9/2, 50, 17, 6, , 21
2024/9/3, 43, 19, 4, , 20
2024/9/4, 40, 15, 4, , 19
2024/9/5, 32, 18, 4, , 20
2024/9/6, 57, 18, 4, , 20
2024/9/7, 37, 17, 3, , 20
2024/9/8, 36, 17, 3, , 20
2024/9/9, 46, 23, 4, , 21
2024/9/10, 48, 14, 4, , 20
2024/9/11, 42, 21, 4, , 21
2024/9/12, 45, 13, 3, , 20
2024/9/13, 46, 17, 3, , 20
2024/9/14, 43, 11, 3, , 19
2024/9/15, 26, 13, 2, , 20
2024/9/16, 38, 13, 3, , 20
2024/9/17, 40, 16, 4, , 21
2024/9/18, 39, 12, 4, , 21
2024/9/19, 34, 12, 5, , 21
2024/9/20, 38, 19, 7, , 21
2024/9/21, 33, 25, 5, , 21
2024/9/22, 28, 16, 3, , 20
2024/9/23, 29, 19, 4, , 20
2024/9/24, 49, 14, 3, , 20
2024/9/25, 57, 15, 3, , 21
2024/9/26, 52, 20, 4, , 20
2024/9/27, 37, 19, 8, , 20
2024/9/28, 37, 21, 6, , 22
2024/9/29, 47, 9, 3, , 21
2024/9/30, 43, 14, 4, , 21
2024/10/1, 30, 12, 2, , 20
2024/4/2, 689, 56, 8, , 14
2024/4/3, 407, 37, 3, , 2
2024/4/4, 82, 39, 4, , 
2024/4/5, 34, 41, 5, , 
2024/4/6, 26, 36, 4, , 
2024/4/7, 58, 37, 3, , 
2024/4/8, 62, 39, 5, , 
2024/4/9, 62, 22, 4, , 
2024/4/10, 59, 37, 6, , 
2024/4/11, 79, 46, 5, , 
2024/4/12, 62, 40, 4, , 
2024/4/13, 33, , , , 
2024/4/15, 39, 36, 5, , 
2024/4/16, 50, 35, 5, , 
2024/4/17, 47, 34, 5, , 
2024/4/18, 55, 31, 4, , 
2024/4/19, 52, 32, 3, , 
2024/4/20, 46, 34, 5, , 
2024/4/21, 60, 33, 2, , 
2024/4/22, 47, 29, 4, , 
2024/4/23, 60, 36, 4, , 1
2024/4/24, 65, 32, 4, , 
2024/4/25, 61, 33, 4, , 
2024/4/26, 61, 33, 4, , 
2024/4/27, 60, 25, 3, , 
2024/4/28, 37, 29, 2, , 
2024/4/29, 65, 38, 3, , 
2024/4/30, 55, 22, 6, , 
2024/5/1, 77, 30, 3, , 
2024/5/2, 53, 34, 4, , 1
2024/5/3, 58, 36, 3, , 1
2024/5/4, 40, 33, 3, , 1
2024/5/5, 56, 30, 2, , 1
2024/5/6, 50, 24, 4, , 1
2024/5/7, 57, 25, 4, , 1
2024/5/8, 50, 25, 3, , 1
2024/5/9, 73, 28, 4, , 1
2024/5/10, 67, 17, 2, , 2
2024/5/11, 45, 24, 3, , 2
2024/5/12, 73, 31, 2, , 2
2024/5/13, 70, 34, 5, , 3
2024/5/14, 84, 37, 6, , 5
